idna_subject,checker_type,destination,tested_at
aloseks.org,AVAILABILITY,domains.list,2026-09-14 11:14:29.605561+00:00
api211.thefilter.com,AVAILABILITY,domains.list,2026-09-14 11:14:29.882913+00:00
ad.fyber.angsrvr.com,AVAILABILITY,domains.list,2026-09-14 11:14:30.067026+00:00
brassrule.com,AVAILABILITY,domains.list,2026-09-14 11:14:30.345919+00:00
cherrythread.com,AVAILABILITY,domains.list,2026-09-14 11:14:30.545653+00:00
cameforcameand33212.com,AVAILABILITY,domains.list,2026-09-14 11:14:30.747045+00:00
au.np.adproxy.ndmdhs.com,AVAILABILITY,domains.list,2026-09-14 11:14:31.128062+00:00
chinchickens.com,AVAILABILITY,domains.list,2026-09-14 11:14:31.424728+00:00
consciouscabbage.com,AVAILABILITY,domains.list,2026-09-14 11:14:31.680628+00:00
familiarfloor.com,AVAILABILITY,domains.list,2026-09-14 11:14:31.948924+00:00
dolphindispute.com,AVAILABILITY,domains.list,2026-09-14 11:14:32.210544+00:00
fd-fp3.wg1.b.yahoo.com,AVAILABILITY,domains.list,2026-09-14 11:14:32.568917+00:00
fhm.degearwom.de,AVAILABILITY,domains.list,2026-09-14 11:14:33.041989+00:00
foamybox.com,AVAILABILITY,domains.list,2026-09-14 11:14:33.288005+00:00
flavordecision.com,AVAILABILITY,domains.list,2026-09-14 11:14:33.499592+00:00
futuristicfear.com,AVAILABILITY,domains.list,2026-09-14 11:14:33.753352+00:00
gate.hockeyapp.net,AVAILABILITY,domains.list,2026-09-14 11:14:35.632817+00:00
guardedgovernor.com,AVAILABILITY,domains.list,2026-09-14 11:14:35.893137+00:00
gfe.geforce.com,AVAILABILITY,domains.list,2026-09-14 11:14:36.216852+00:00
guitarbelieve.com,AVAILABILITY,domains.list,2026-09-14 11:14:36.451764+00:00
iframe.chefkoch.deioam.de,AVAILABILITY,domains.list,2026-09-14 11:14:37.011527+00:00
incrediblesugar.com,AVAILABILITY,domains.list,2026-09-14 11:14:37.321150+00:00
inviterabbits.com,AVAILABILITY,domains.list,2026-09-14 11:14:37.677739+00:00
insnw.ne,AVAILABILITY,domains.list,2026-09-14 11:14:39.666648+00:00
jewelcheese.com,AVAILABILITY,domains.list,2026-09-14 11:14:39.906043+00:00
karisimbi.net,AVAILABILITY,domains.list,2026-09-14 11:14:40.127929+00:00
jikenick12and67.com,AVAILABILITY,domains.list,2026-09-14 11:14:40.443369+00:00
lopsidedspoon.com,AVAILABILITY,domains.list,2026-09-14 11:14:40.770824+00:00
matchcows.com,AVAILABILITY,domains.list,2026-09-14 11:14:40.927685+00:00
practicetoothpaste.com,AVAILABILITY,domains.list,2026-09-14 11:14:41.145143+00:00
rules.noadblock.org,AVAILABILITY,domains.list,2026-09-14 11:14:41.403962+00:00
adserver.lasiciliaweb.it,AVAILABILITY,domains.list,2026-09-14 11:14:42.231074+00:00
reports.crashlytics.com,AVAILABILITY,domains.list,2026-09-14 11:14:42.469552+00:00
ritzysponge.com,AVAILABILITY,domains.list,2026-09-14 11:14:42.898040+00:00
public.vilynx.com,AVAILABILITY,domains.list,2026-09-14 11:14:43.301664+00:00
shelterstraw.com,AVAILABILITY,domains.list,2026-09-14 11:14:43.671057+00:00
shallowschool.com,AVAILABILITY,domains.list,2026-09-14 11:14:43.938697+00:00
shockingswing.com,AVAILABILITY,domains.list,2026-09-14 11:14:44.277088+00:00
sinceresofa.com,AVAILABILITY,domains.list,2026-09-14 11:14:44.727799+00:00
sincerespy.com,AVAILABILITY,domains.list,2026-09-14 11:14:44.975933+00:00
snakesort.com,AVAILABILITY,domains.list,2026-09-14 11:14:45.233304+00:00
sneaklevel.com,AVAILABILITY,domains.list,2026-09-14 11:14:45.430646+00:00
spectacularsnail.com,AVAILABILITY,domains.list,2026-09-14 11:14:45.687910+00:00
squeamishscarecrow.com,AVAILABILITY,domains.list,2026-09-14 11:14:45.836929+00:00
spottysense.com,AVAILABILITY,domains.list,2026-09-14 11:14:45.996820+00:00
static-assets-queue-it.net,AVAILABILITY,domains.list,2026-09-14 11:14:46.225200+00:00
structuresofa.com,AVAILABILITY,domains.list,2026-09-14 11:14:46.519685+00:00
superficialsink.com,AVAILABILITY,domains.list,2026-09-14 11:14:46.793866+00:00
cydia.saurik.com.cdngc.net,AVAILABILITY,domains.list,2026-09-14 11:14:47.454088+00:00
adbigline.network,AVAILABILITY,domains.list,2026-09-14 11:14:48.185859+00:00
ads.baotainguyenmoitruong.vn,AVAILABILITY,domains.list,2026-09-14 11:14:48.587124+00:00
bibugal.network,AVAILABILITY,domains.list,2026-09-14 11:14:48.920894+00:00
coinhiveproxy.com,AVAILABILITY,domains.list,2026-09-14 11:14:49.157116+00:00
exclusive-vouchers.com,AVAILABILITY,domains.list,2026-09-14 11:14:49.335141+00:00
galikos.com,AVAILABILITY,domains.list,2026-09-14 11:14:49.632396+00:00
groceriesgiftcards.com,AVAILABILITY,domains.list,2026-09-14 11:14:50.068444+00:00
line2lime.com,AVAILABILITY,domains.list,2026-09-14 11:14:50.309553+00:00
reticulumlyn.com,AVAILABILITY,domains.list,2026-09-14 11:14:50.500884+00:00
shortyz.co,AVAILABILITY,domains.list,2026-09-14 11:14:50.697851+00:00
topwindstar.com,AVAILABILITY,domains.list,2026-09-14 11:14:50.876162+00:00
tucanastar.com,AVAILABILITY,domains.list,2026-09-14 11:14:51.123082+00:00
wetral.com,AVAILABILITY,domains.list,2026-09-14 11:14:51.398910+00:00
hb.nexage.com,AVAILABILITY,domains.list,2026-09-14 11:15:14.182097+00:00
pub.naiz.eus,AVAILABILITY,domains.list,2026-09-14 11:15:14.700835+00:00
adiode.com,AVAILABILITY,domains.list,2026-09-14 11:15:15.259625+00:00
www.adiode.com,AVAILABILITY,domains.list,2026-09-14 11:15:15.621684+00:00
www.pivata.net,AVAILABILITY,domains.list,2026-09-14 11:15:16.005774+00:00
platform.cloud-iq.com.au,AVAILABILITY,domains.list,2026-09-14 11:15:16.569602+00:00
www.vungle.com,AVAILABILITY,domains.list,2026-09-14 11:15:18.195161+00:00
psa.carambo.la,AVAILABILITY,domains.list,2026-09-14 11:15:18.707742+00:00
teschenite.com,AVAILABILITY,domains.list,2026-09-14 11:15:19.258396+00:00
tracedesire.com,AVAILABILITY,domains.list,2026-09-14 11:15:19.533037+00:00
adserver.greeners.co,AVAILABILITY,domains.list,2026-09-14 11:15:19.909868+00:00
adv2.grupopreferente.com,AVAILABILITY,domains.list,2026-09-14 11:15:20.660190+00:00
revive.saechsische-schweiz.de,AVAILABILITY,domains.list,2026-09-14 11:15:21.457190+00:00
truthfulturn.com,AVAILABILITY,domains.list,2026-09-14 11:15:21.875382+00:00
www.2znp09oa.com,AVAILABILITY,domains.list,2026-09-14 11:15:22.258625+00:00
www.4jnzhl0d0.com,AVAILABILITY,domains.list,2026-09-14 11:15:22.728580+00:00
www.82o9v830.com,AVAILABILITY,domains.list,2026-09-14 11:15:23.170525+00:00
www.aboardlevel.com,AVAILABILITY,domains.list,2026-09-14 11:15:23.420960+00:00
www.actuallysheep.com,AVAILABILITY,domains.list,2026-09-14 11:15:23.772931+00:00
www.acridtwist.com,AVAILABILITY,domains.list,2026-09-14 11:15:24.177608+00:00
www.agreeableprice.com,AVAILABILITY,domains.list,2026-09-14 11:15:24.536539+00:00
www.afraidlanguage.com,AVAILABILITY,domains.list,2026-09-14 11:15:24.815475+00:00
ads.eltemps.cat,AVAILABILITY,domains.list,2026-09-14 11:15:26.001463+00:00
www.agreeabletouch.com,AVAILABILITY,domains.list,2026-09-14 11:15:26.350869+00:00
www.ak0gsh40.com,AVAILABILITY,domains.list,2026-09-14 11:15:26.825829+00:00
www.aloseks.org,AVAILABILITY,domains.list,2026-09-14 11:15:27.192395+00:00
www.anxiousapples.com,AVAILABILITY,domains.list,2026-09-14 11:15:27.569339+00:00
www.archswimming.com,AVAILABILITY,domains.list,2026-09-14 11:15:28.050673+00:00
www.attractivecap.com,AVAILABILITY,domains.list,2026-09-14 11:15:28.658098+00:00
www.awzbijw.com,AVAILABILITY,domains.list,2026-09-14 11:15:29.036757+00:00
