subject,idna_subject,expiration_date,epoch,registrar
fullstory.com,fullstory.com,08-aug-2027,1817683200.0,
fullstory.com,fullstory.com,08-aug-2027,1817683200.0,
adstdg.net,adstdg.net,10-feb-2026,1770681600.0,"GoDaddy.com, LLC"
adtrackers.net,adtrackers.net,19-sep-2025,1758240000.0,"GoDaddy.com, LLC"
bannertrack.net,bannertrack.net,19-sep-2025,1758240000.0,"GoDaddy.com, LLC"
ctoid.net,ctoid.net,04-sep-2026,1788480000.0,Gandi SAS
doubleclick.net,doubleclick.net,17-jan-2026,1768608000.0,MarkMonitor Inc.
evolveplatform.net,evolveplatform.net,05-feb-2029,1864944000.0,"GoDaddy.com, LLC"
ezoic.net,ezoic.net,10-jan-2030,1894233600.0,Hostopia Canada Corp
inscname.net,inscname.net,08-jul-2026,1783468800.0,MarkMonitor Inc.
insnw.net,insnw.net,07-dec-2025,1765065600.0,MarkMonitor Inc.
lakewoodmediagroup.net,lakewoodmediagroup.net,30-apr-2026,1777507200.0,"GoDaddy.com, LLC"
piano.io,piano.io,04-aug-2026,1785801600.0,"GoDaddy.com, LLC"
sbplus.hr,sbplus.hr,05-jun-2026,1780617600.0,CARNET
uaswitcher.org,uaswitcher.org,29-jun-2026,1782691200.0,"GoDaddy.com, LLC"
urbantoronto.ca,urbantoronto.ca,27-mar-2026,1774569600.0,(Domain.ca) 3950573 Canada Inc.
visualise.click,visualise.click,19-may-2026,1779148800.0,"Amazon Registrar, Inc."
