idna_subject,checker_type,destination,source,tested_at,session_id
aax-eu.amazon-adsystem.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:55.289328+00:00,98766b01f062a9ddaf5dbdff
ac24horas.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:55.758183+00:00,98766b01f062a9ddaf5dbdff
acceptable.a-ads.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:56.617548+00:00,98766b01f062a9ddaf5dbdff
acdn.adnxs.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:56.797964+00:00,98766b01f062a9ddaf5dbdff
ad-cdn.technoratimedia.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:56.981259+00:00,98766b01f062a9ddaf5dbdff
ad.aniu.tv,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:57.818981+00:00,98766b01f062a9ddaf5dbdff
ad.investmap.pl,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:58.800379+00:00,98766b01f062a9ddaf5dbdff
ad.mds.lv,AVAILABILITY,domains.list,domains.list,2024-10-15 11:12:59.947544+00:00,98766b01f062a9ddaf5dbdff
ad.zfk.de,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:01.316359+00:00,98766b01f062a9ddaf5dbdff
adbigline.network,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:01.540400+00:00,98766b01f062a9ddaf5dbdff
adc-ad-assets.adtilt.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:01.772082+00:00,98766b01f062a9ddaf5dbdff
ade.googlesyndication.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:02.038425+00:00,98766b01f062a9ddaf5dbdff
adiode.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:02.425243+00:00,98766b01f062a9ddaf5dbdff
admanager.uptodown.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:02.710096+00:00,98766b01f062a9ddaf5dbdff
adnxs.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:02.840242+00:00,98766b01f062a9ddaf5dbdff
ads-eu.amillionads.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:03.160813+00:00,98766b01f062a9ddaf5dbdff
ads.4x4brasil.com.br,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:07.672244+00:00,98766b01f062a9ddaf5dbdff
ads.a2epub.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:08.459737+00:00,98766b01f062a9ddaf5dbdff
ads.adsolut.in,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:18.616934+00:00,98766b01f062a9ddaf5dbdff
ads.baotainguyenmoitruong.vn,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:19.793035+00:00,98766b01f062a9ddaf5dbdff
ads.catmedia.cat,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:23.848013+00:00,98766b01f062a9ddaf5dbdff
ads.citymagazine.rs,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:34.639831+00:00,98766b01f062a9ddaf5dbdff
ads.ck101.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:35.264587+00:00,98766b01f062a9ddaf5dbdff
ads.d3corp.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:35.550598+00:00,98766b01f062a9ddaf5dbdff
ads.diariodehuelva.es,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:45.898561+00:00,98766b01f062a9ddaf5dbdff
ads.directa.cat,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:47.943768+00:00,98766b01f062a9ddaf5dbdff
ads.easyodds.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:49.382642+00:00,98766b01f062a9ddaf5dbdff
ads.elperiodic.ad,AVAILABILITY,domains.list,domains.list,2024-10-15 11:13:50.235748+00:00,98766b01f062a9ddaf5dbdff
ads.eltemps.cat,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:00.852755+00:00,98766b01f062a9ddaf5dbdff
ads.fakulteti.mk,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:02.701081+00:00,98766b01f062a9ddaf5dbdff
ads.femmexpat.net,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:03.377505+00:00,98766b01f062a9ddaf5dbdff
ads.gogovest.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:13.586889+00:00,98766b01f062a9ddaf5dbdff
ads.inselradio.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:14.700459+00:00,98766b01f062a9ddaf5dbdff
ads.kafepauza.mk,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:15.678853+00:00,98766b01f062a9ddaf5dbdff
ads.motorgraph.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:17.345684+00:00,98766b01f062a9ddaf5dbdff
ads.newsbook.com.mt,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:18.715676+00:00,98766b01f062a9ddaf5dbdff
ads.performanceracing.com,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:19.054033+00:00,98766b01f062a9ddaf5dbdff
ads.press24.mk,AVAILABILITY,domains.list,domains.list,2024-10-15 11:14:21.570045+00:00,98766b01f062a9ddaf5dbdff
